Kudos Date,Kudos Type,Parent ID
"Apr 25, 2015, 9:40:38 PM",Activity,292359273
"Apr 25, 2015, 10:25:52 PM",Activity,292512546
"Apr 25, 2015, 10:26:05 PM",Activity,292509111
"Apr 25, 2015, 10:26:07 PM",Activity,292498490
"Apr 25, 2015, 10:26:35 PM",Activity,292505058
"Apr 26, 2015, 9:21:53 PM",Activity,293044696
"Apr 28, 2015, 10:14:00 PM",Activity,294436749
"Apr 29, 2015, 3:05:48 AM",Activity,294511013
"Apr 29, 2015, 1:25:07 PM",Activity,294721374
"Apr 29, 2015, 11:23:16 PM",Activity,295049438
"May 2, 2015, 2:12:50 AM",Activity,296278094
"May 2, 2015, 2:12:52 AM",Activity,296247724
"May 2, 2015, 2:13:00 AM",Activity,296278762
"May 3, 2015, 4:54:28 AM",Activity,297023231
"May 3, 2015, 4:54:30 AM",Activity,296675183
"May 3, 2015, 4:54:33 AM",Activity,296675035
"May 3, 2015, 6:11:45 PM",Activity,297463724
"May 3, 2015, 6:11:47 PM",Activity,297451073
"May 3, 2015, 6:11:49 PM",Activity,297440312
"May 3, 2015, 6:11:55 PM",Activity,297451260
"May 3, 2015, 6:11:57 PM",Activity,297368283
"May 3, 2015, 7:57:57 PM",Activity,297566844
"May 3, 2015, 8:08:50 PM",Activity,297489757
"May 3, 2015, 9:56:08 PM",Activity,297571253
"May 4, 2015, 6:06:11 PM",Activity,297929140
"May 5, 2015, 2:18:01 AM",Activity,298361985
"May 5, 2015, 2:18:02 AM",Activity,298334485
"May 5, 2015, 11:50:06 PM",Activity,298878403
"May 8, 2015, 12:17:04 AM",Activity,300165469
"May 8, 2015, 2:32:31 AM",Activity,300216680
"May 8, 2015, 2:08:18 PM",Activity,300418439
"May 8, 2015, 2:09:06 PM",Activity,300427469
"May 8, 2015, 5:21:25 PM",Activity,300527319
"May 8, 2015, 5:21:26 PM",Activity,300512982
"May 9, 2015, 1:37:26 AM",Activity,300697757
"May 9, 2015, 1:37:27 AM",Activity,300694306
"May 9, 2015, 1:37:33 AM",Activity,300687024
"May 9, 2015, 1:37:38 AM",Activity,300645027
"May 9, 2015, 3:50:34 PM",Activity,301002384
"May 9, 2015, 3:50:34 PM",Activity,301065263
"May 9, 2015, 7:24:14 PM",Activity,301126865
"May 9, 2015, 8:09:07 PM",Activity,301276100
"May 9, 2015, 8:09:08 PM",Activity,301275778
"May 10, 2015, 10:10:31 PM",Activity,302073020
"May 10, 2015, 10:10:33 PM",Activity,301988577
"May 10, 2015, 10:10:39 PM",Activity,302009413
"May 10, 2015, 10:10:40 PM",Activity,302085512
"May 10, 2015, 10:10:42 PM",Activity,301934172
"May 12, 2015, 2:09:07 AM",Activity,302712096
"May 13, 2015, 12:15:28 AM",Activity,303358689
"May 13, 2015, 4:08:20 PM",Activity,303636028
"May 17, 2015, 2:04:37 AM",Activity,305830245
"May 17, 2015, 2:04:42 AM",Activity,305754288
"May 17, 2015, 2:04:45 AM",Activity,305635710
"May 17, 2015, 5:15:49 PM",Activity,306388061
"May 17, 2015, 5:15:49 PM",Activity,306373650
"May 17, 2015, 5:15:49 PM",Activity,306451390
"May 17, 2015, 7:20:28 PM",Activity,306606769
"May 17, 2015, 8:22:15 PM",Activity,306649794
"May 18, 2015, 12:20:38 AM",Activity,306759878
"May 18, 2015, 12:20:39 AM",Activity,306758556
"May 18, 2015, 11:19:52 PM",Activity,307295094
"May 20, 2015, 3:17:46 AM",Activity,307946679
"May 21, 2015, 4:23:56 AM",Activity,308565695
"May 22, 2015, 12:50:41 AM",Activity,309128238
"May 23, 2015, 9:19:08 PM",Activity,310311271
"May 23, 2015, 9:21:24 PM",Activity,310136683
"May 23, 2015, 9:21:26 PM",Activity,310109896
"May 24, 2015, 8:20:52 PM",Activity,311059055
"May 25, 2015, 3:15:53 PM",Activity,310962059
"May 25, 2015, 8:31:10 PM",Activity,311753280
"May 25, 2015, 9:45:04 PM",Activity,311824942
"May 25, 2015, 11:07:07 PM",Activity,311833116
"May 25, 2015, 11:07:08 PM",Activity,311848761
"May 27, 2015, 1:44:18 AM",Activity,312573758
"May 27, 2015, 2:21:15 AM",Activity,312573756
"May 27, 2015, 11:42:28 PM",Activity,313182892
"May 29, 2015, 1:52:09 PM",Activity,314077199
"May 29, 2015, 9:46:52 PM",Activity,314377545
"May 30, 2015, 12:29:25 AM",Activity,314399878
"May 31, 2015, 12:04:41 AM",Activity,315121695
"May 31, 2015, 12:04:42 AM",Activity,315074809
"May 31, 2015, 12:04:45 AM",Activity,314898821
